TaskID,TaskName,Python,DataAnalysis,ML,Communication,ProjectManagement
6,Automation Script,8,4,1,2,1
6,Automation Script,7,3,3,2,1
6,Automation Script,9,4,2,2,1
6,Automation Script,10,2,2,2,4
6,Automation Script,7,4,1,1,3
6,Automation Script,10,4,4,2,3
6,Automation Script,10,1,4,4,1
6,Automation Script,8,2,4,2,2
6,Automation Script,7,1,4,1,1
6,Automation Script,7,3,1,4,4
6,Automation Script,8,1,2,1,4
7,AI Model Training,3,6,8,3,3
7,AI Model Training,2,5,7,3,3
7,AI Model Training,3,4,7,3,3
7,AI Model Training,4,7,9,2,3
7,AI Model Training,1,5,9,4,1
7,AI Model Training,4,6,9,3,3
7,AI Model Training,2,4,10,4,2
7,AI Model Training,2,6,9,3,4
7,AI Model Training,4,4,9,4,2
7,AI Model Training,2,7,9,1,2
7,AI Model Training,4,4,8,1,3
7,AI Model Training,4,6,9,2,1
7,AI Model Training,2,5,7,2,2
7,AI Model Training,1,5,9,4,4
7,AI Model Training,1,7,10,1,4
7,AI Model Training,3,6,8,3,4
7,AI Model Training,2,7,7,3,4
7,AI Model Training,3,7,9,3,1
7,AI Model Training,2,5,7,1,2
7,AI Model Training,2,4,9,2,2
8,Project Planning & Coordination,1,2,3,5,7
8,Project Planning & Coordination,1,4,1,7,10
8,Project Planning & Coordination,2,2,2,4,7
8,Project Planning & Coordination,4,4,2,6,10
8,Project Planning & Coordination,4,1,1,4,7
8,Project Planning & Coordination,2,3,1,4,7
8,Project Planning & Coordination,4,1,3,5,10
8,Project Planning & Coordination,4,4,4,6,10
8,Project Planning & Coordination,2,1,4,5,7
8,Project Planning & Coordination,4,3,4,4,10
8,Project Planning & Coordination,4,1,4,7,8
8,Project Planning & Coordination,1,2,3,5,7
8,Project Planning & Coordination,3,4,3,5,9
8,Project Planning & Coordination,3,4,3,6,9
8,Project Planning & Coordination,4,2,1,5,7
8,Project Planning & Coordination,1,1,2,5,9
8,Project Planning & Coordination,2,3,3,6,7
8,Project Planning & Coordination,4,2,4,4,8
8,Project Planning & Coordination,2,4,1,6,7
8,Project Planning & Coordination,1,2,1,7,8
9,Resource Allocation,1,4,3,2,10
9,Resource Allocation,3,1,4,2,9
9,Resource Allocation,1,2,2,3,10
9,Resource Allocation,1,3,1,2,9
9,Resource Allocation,2,1,3,2,10
9,Resource Allocation,1,3,4,3,10
9,Resource Allocation,3,4,4,2,8
9,Resource Allocation,3,2,3,4,8
9,Resource Allocation,1,2,1,3,9
9,Resource Allocation,3,3,2,2,7
9,Resource Allocation,2,3,2,3,8
9,Resource Allocation,3,1,2,3,9
9,Resource Allocation,2,1,3,2,9
9,Resource Allocation,2,1,4,1,8
9,Resource Allocation,4,4,2,2,8
9,Resource Allocation,1,2,3,1,8
9,Resource Allocation,2,2,3,3,9
9,Resource Allocation,4,1,1,3,9
9,Resource Allocation,4,1,2,3,9
9,Resource Allocation,1,3,4,3,10
10,Documentation Writing,3,4,2,9,3
10,Documentation Writing,4,3,2,10,1
10,Documentation Writing,4,3,3,7,1
10,Documentation Writing,1,3,4,7,1
10,Documentation Writing,1,1,4,7,3
10,Documentation Writing,3,3,1,8,4
10,Documentation Writing,2,2,1,9,3
10,Documentation Writing,4,3,3,8,2
10,Documentation Writing,4,1,2,9,4
10,Documentation Writing,4,1,2,10,4
10,Documentation Writing,4,3,2,8,2
10,Documentation Writing,2,1,1,7,2
10,Documentation Writing,2,2,3,7,1
10,Documentation Writing,1,4,1,8,4
10,Documentation Writing,1,1,1,9,4
10,Documentation Writing,2,2,1,9,3
10,Documentation Writing,4,3,4,10,3
10,Documentation Writing,4,1,2,7,4
10,Documentation Writing,1,3,4,7,1
10,Documentation Writing,3,3,2,7,4
